name,borough,names,location,latitude,longitude,combined
Grand Avenue Playground,Bronx,robert moses,"Grand Avenue Playground, Bronx County, City of New York, New York, United States",40.85606645,-73.90720419,"Grand Avenue Playground, Bronx"
Brooklyn-Queens Expressway,Brooklyn,robert moses,"Brooklyn-Queens Expressway, Brooklyn, Queens County, City of New York, New York, 11104, United States",40.7280486,-73.9281898,"Brooklyn-Queens Expressway, Brooklyn"
Bush-Clinton Playground,Brooklyn,robert moses,,40.6738099,-74.00346745,"Bush-Clinton Playground, Brooklyn"
Fort Hamilton Senior Center,Brooklyn,robert moses,"Fort Hamilton Senior Recreation Center, 9941, Fort Hamilton Parkway, Fort Hamilton, Brooklyn, Kings County, City of New York, New York, 11209, United States",40.6118292,-74.03165393,"Fort Hamilton Senior Center, Brooklyn"
Henry Hudson Monument,Bronx,robert moses,"Henry Hudson Monument, Independence Avenue, Spuyten Duyvil, Bronx County, City of New York, New York, 10471, The Bronx",40.8823543,-73.918364,"Henry Hudson Monument, Bronx"
Pelican Bay Playground,Bronx,robert moses,,40.86816901,-73.79336469,"Pelican Bay Playground, Bronx"
Webster Playground,Bronx,robert moses,"Webster Memorial Playground, Bronx County, The Bronx, City of New York, New York, United States",40.8595546,-73.89302119,"Webster Playground, Bronx"
Arbor Place,Brooklyn,robert moses,"Arbor Place, Brooklyn, Kings County, City of New York, New York, United States",40.69602115,-73.98061866,"Arbor Place, Brooklyn"
Brooklyn War Memorial,Brooklyn,robert moses,"Brooklyn War Memorial, 172, Cadman Plaza East, DUMBO, Brooklyn, Kings County, City of New York, New York, 11201, United States",40.69844345,-73.99062615,"Brooklyn War Memorial, Brooklyn"
Classon Triangle,Brooklyn,robert moses,"Classon Triangle, Brooklyn, Kings County, City of New York, New York, United States",40.6992872,-73.96105243,"Classon Triangle, Brooklyn"
Hunter Island,Bronx,robert moses,"Hunter Avenue, City Island, Bronx County, City of New York, New York, 10464, The Bronx",40.8501279,-73.7886385,"Hunter Island, Bronx"
Railroad Park,Bronx,robert moses,"Railroad Park, Bronx County, City of New York, New York, United States",40.8250831,-73.91542826,"Railroad Park, Bronx"
Reiss Field,Bronx,robert moses,,40.85860666,-73.87172163,"Reiss Field, Bronx"
Greenwood Playground,Brooklyn,robert moses,"Greenwood Playground, Windsor Terrace, Kings County, City of New York, New York, United States",40.65006935,-73.97635283,"Greenwood Playground, Brooklyn"
Haring Playground,Brooklyn,robert moses,,40.59120004,-73.93837002,"Haring Playground, Brooklyn"
Harmony Playground,Brooklyn,robert moses,"Harmony Playground, Prospect Park West Bike Path, Prospect Heights, Brooklyn, Kings County, City of New York, New York, 11215, United States",40.66343905,-73.97700789,"Harmony Playground, Brooklyn"
Harold Ickes Playground,Brooklyn,robert moses,,40.68299437,-74.00613722,"Harold Ickes Playground, Brooklyn"
Bridge Park 1,Brooklyn,robert moses,"Maritcha R. Lyons Park, Brooklyn, Kings County, City of New York, New York, United States",40.70078635,-73.98641007,"Bridge Park 1, Brooklyn"
Bridge Park 2,Brooklyn,robert moses,"Bridge Park 2, Brooklyn, Kings County, City of New York, New York, United States",40.70113095,-73.98611303,"Bridge Park 2, Brooklyn"
Bridge Park 3,Brooklyn,robert moses,"Bridge Park 3, Brooklyn, Kings County, City of New York, New York, 11201, United States",40.70026755,-73.98564599,"Bridge Park 3, Brooklyn"
Leif Ericson Drive,Brooklyn,robert moses,"Leif Ericson Drive, Kings County, City of New York, New York, United States",40.6036375,-74.01973304,"Leif Ericson Drive, Brooklyn"
Linwood Playground,Brooklyn,robert moses,"Linwood Playground, Brooklyn, Kings County, City of New York, New York, 11208, United States",40.6661111,-73.8802778,"Linwood Playground, Brooklyn"
Asphalt Green,Manhattan,robert moses,"Asphalt Green, 212, North End Avenue, Manhattan Community Board 1, Manhattan, New York County, City of New York, New York, 10282, United States",40.7159868,-74.0149055,"Asphalt Green, Manhattan"
Frances Hodgson Burnett Memorial Fountain,Manhattan,robert moses,,40.79329384,-73.95278573,"Frances Hodgson Burnett Memorial Fountain, Manhattan"
Corlears Hook Park,Manhattan,robert moses,"Corlears Hook Park, Manhattan Community Board 3, Manhattan, New York County, City of New York, New York, United States",40.7117823,-73.97953863,"Corlears Hook Park, Manhattan"
Alstyne Playground,Queens,robert moses,,40.74421702,-73.86152924,"Alstyne Playground, Queens"
Bayside Playground,Queens,robert moses,"Bayside Playground, Rockaway Beach, Queens County, City of New York, New York, 11693, United States",40.585,-73.825,"Bayside Playground, Queens"
Beach Channel Playground,Queens,robert moses,"Beach Channel Playground, Ocean Breeze, Queens County, City of New York, New York, 12692, United States",40.5888889,-73.8058333,"Beach Channel Playground, Queens"
Bellaire Playground,Queens,robert moses,"Bellaire Playground, Queens County, City of New York, New York, United States",40.7217256,-73.75802593,"Bellaire Playground, Queens"
Brant Point Wildlife Sanctuary,Queens,robert moses,"Brant Point Wildlife Sanctuary, Beach 72nd Street, Somerville, Queens County, City of New York, New York, 11692, United States",40.598387,-73.80314594,"Brant Point Wildlife Sanctuary, Queens"
Buzz Vollmer Playground,Queens,robert moses,,40.75019397,-73.84164938,"Buzz Vollmer Playground, Queens"
Cardozo Playground,Queens,robert moses,"Benjamin Cardozo Playground, Arverne View, Queens County, City of New York, New York, United States",40.593242,-73.78658782,"Cardozo Playground, Queens"
Columbus Statue,Queens,robert moses,,40.77018691,-73.9174923,"Columbus Statue, Queens"
Austin J. Mcdonald Playground,Staten_Island,robert moses,"Austin J. McDonald Playground, West New Brighton, Richmond County, City of New York, New York, United States",40.6296875,-74.1153123,"Austin J. Mcdonald Playground, Staten_Island"
Orchard Beach,Bronx,robert moses,"Orchard Beach, City of New York, New York, The Bronx",40.86576815,-73.79331521,"Orchard Beach, Bronx"
Rodman&rsquo;s Neck,Bronx,robert moses,,40.85404947,-73.80070924,"Rodman&rsquo;s Neck, Bronx"
Morris Mesa,Bronx,robert moses,"Morris Mesa, Bronx County, City of New York, New York, United States",40.8452051,-73.90962146,"Morris Mesa, Bronx"
Boone Slope,Bronx,robert moses,,40.83770685,-73.88225393,"Boone Slope, Bronx"
High Rock Park,Staten_Island,robert moses,"High Rock Park, Staten Island, City of New York, New York, United States",40.5833286,-74.12312452,"High Rock Park, Staten_Island"
Ida Court,Staten_Island,robert moses,"Ida Court, Seaside, Richmond County, City of New York, New York, 10312, United States",40.5386632,-74.1862802,"Ida Court, Staten_Island"
Forms in Transit Sculpture,Queens,robert moses,,40.74842838,-73.85146009,"Forms in Transit Sculpture, Queens"
Form Sculpture,Queens,robert moses,,40.74737982,-73.84687888,"Form Sculpture, Queens"
Freedom of the Human Spirit Statue,Queens,robert moses,,40.7479462,-73.84582656,"Freedom of the Human Spirit Statue, Queens"
Frontera Park,Queens,robert moses,"Frontera Park, Queens County, City of New York, New York, United States",40.7243936,-73.89548802,"Frontera Park, Queens"
George Washington Statue,Queens,robert moses,,40.73546538,-73.99066312,"George Washington Statue, Queens"
Broadway Malls,Manhattan,robert moses,"Broadway Malls, Broadway, Manhattan Community Board 7, Manhattan, New York County, City of New York, New York, 10107, United States",40.769331,-73.98210946,"Broadway Malls, Manhattan"
Broadway Malls - 72nd to 96th Streets,Manhattan,robert moses,,40.78814264,-73.9766208,"Broadway Malls - 72nd to 96th Streets, Manhattan"
Broadway Malls - 110th to 122nd Streets,Manhattan,robert moses,,40.80700523,-73.96466024,"Broadway Malls - 110th to 122nd Streets, Manhattan"
John V. Lindsay East River Park,Manhattan,robert moses,"John V. Lindsay East River Park, Manhattan, New York County, City of New York, New York, United States",40.718547,-73.97413794,"John V. Lindsay East River Park, Manhattan"
The Pond,Manhattan,robert moses,"The Pond, Manhattan, New York County, City of New York, New York, United States",40.7662616,-73.97395608,"The Pond, Manhattan"
Fiorello La Guardia Statue,Manhattan,robert moses,,40.72871284,-73.99816052,"Fiorello La Guardia Statue, Manhattan"
,,,,,,
First Park,Manhattan,robert moses,"First Park, East Village, Manhattan, New York County, City of New York, New York, United States",40.72338385,-73.98921215,"First Park, Manhattan"
Grassmere Playground,Queens,robert moses,"Grassmere Playground, Wave Crest, Queens County, City of New York, New York, United States",40.5994546,-73.7590533,"Grassmere Playground, Queens"
Horace Harding Playground,Queens,robert moses,"Horace Harding Playground, Rego Park, Queens, City of New York, New York, United States",40.73325165,-73.86054431,"Horace Harding Playground, Queens"
John Riedl Wildflower Meadow,Queens,robert moses,"John Riedl Wildflower Meadow, Parsons Beach, Queens County, City of New York, New York, United States",40.76668955,-73.75773491,"John Riedl Wildflower Meadow, Queens"
Kissena Corridor East,Queens,robert moses,,40.74738545,-73.82045978,"Kissena Corridor East, Queens"
LaGuardia Landing Lights,Queens,robert moses,"Landing Lights Park, Jackson Heights, Queens County, City of New York, New York, United States",40.7659503,-73.88682031,"LaGuardia Landing Lights, Queens"
Lakeview Lane Playground,Queens,robert moses,"Lakeview Lane Park, Lakeview Lane, Locust Manor, Queens, City of New York, New York, 11434, United States",40.6777448,-73.7823957,"Lakeview Lane Playground, Queens"
Nicholas De Matti Playground,Staten_Island,robert moses,"Nicholas de Matti Playground, Clifton, Richmond County, City of New York, New York, United States",40.6146442,-74.07397554,"Nicholas De Matti Playground, Staten_Island"
Staten Island Expressway,Staten_Island,robert moses,"Staten Island Expressway, Old Place, Richmond County, City of New York, New York, 10303, United States",40.628581,-74.1831795,"Staten Island Expressway, Staten_Island"
Westwood Park,Staten_Island,robert moses,"Westwood Park, South Gannon Avenue, Willowbrook, Staten Island, City of New York, New York, 10314, United States",40.60642565,-74.141871,"Westwood Park, Staten_Island"
Gracie Mansion,Manhattan,robert moses,"Gracie Mansion, 181, East End Avenue, Manhattan Community Board 8, Manhattan, New York County, City of New York, New York, 10028, United States",40.77609485,-73.94307866,"Gracie Mansion, Manhattan"
Harlem Success Garden,Manhattan,robert moses,,40.81531855,-73.94584629,"Harlem Success Garden, Manhattan"
Harlem River Park,Manhattan,robert moses,"Harlem River Drive Park, Manhattan Community Board 11, Manhattan, New York County, City of New York, New York, United States",40.8147593,-73.93410344,"Harlem River Park, Manhattan"
Hippo Playground,Manhattan,robert moses,"Hippo Playground, Henry Hudson Parkway, Upper West Side, Manhattan, New York County, City of New York, New York, 10024, United States",40.7931549,-73.9782709,"Hippo Playground, Manhattan"
Indian Road Playground,Manhattan,robert moses,"Indian Road Playground, West 214th Street, Manhattan Community Board 12, Manhattan, New York County, City of New York, New York, 10034, United States",40.87191955,-73.91989092,"Indian Road Playground, Manhattan"
Jose Bonifacio de Andrada e Silva Statue,Manhattan,robert moses,,40.75388733,-73.98462322,"Jose Bonifacio de Andrada e Silva Statue, Manhattan"
Loeb Boat House,Manhattan,robert moses,,40.77543892,-73.96873712,"Loeb Boat House, Manhattan"
Ancient Playground,Manhattan,robert moses,"Ancient Playground, 86th Street Transverse, Upper East Side, Manhattan, New York County, City of New York, New York, 10075, United States",40.78080865,-73.96166122,"Ancient Playground, Manhattan"
McCaffrey Playground,Manhattan,robert moses,"McCaffrey Playground, West 43rd Street, Manhattan Community Board 4, Manhattan, New York County, City of New York, New York, 10036, United States",40.75896445,-73.99124278,"McCaffrey Playground, Manhattan"
Seven Oaks,Queens,robert moses,"Seven Oaks, Steinway, Queens County, City of New York, New York, United States",40.76988115,-73.91210542,"Seven Oaks, Queens"
West Meadow Playground,Queens,robert moses,,40.72842705,-73.83509229,"West Meadow Playground, Queens"
Olmsted Center,Queens,robert moses,"Olmsted Center, Shea Road, Queens, City of New York, New York, 11368, United States",40.75140255,-73.8491092,"Olmsted Center, Queens"
New York City Building,Queens,robert moses,,40.75176706,-73.83748175,"New York City Building, Queens"
Long Island Expressway,Queens,robert moses,"Long Island Expressway, Queens, City of New York, New York, 11368, United States",40.7373067,-73.8517204,"Long Island Expressway, Queens"
Planeview Park,Queens,robert moses,"Planeview Park, North Beach, Queens County, City of New York, New York, United States",40.76783775,-73.88362688,"Planeview Park, Queens"
Badame-Sessa Memorial Square,Brooklyn,robert moses,"Badame Sessa Memorial Square, Brooklyn, Kings County, City of New York, New York, United States",40.7172107,-73.94839732,"Badame-Sessa Memorial Square, Brooklyn"
Randall Playground,Bronx,robert moses,"Randall Playground, Castle Hill Houses, City of New York, New York, United States",40.81954455,-73.84955801,"Randall Playground, Bronx"
Liberty Pool,Queens,robert moses,,40.70185435,-73.78437402,"Liberty Pool, Queens"
Red Hook Park,Brooklyn,robert moses,"Red Hook Park, Kings County, City of New York, New York, United States",40.67139535,-74.00606189,"Red Hook Park, Brooklyn"
Russell Sage Playground,Brooklyn,robert moses,,40.72383511,-73.8514511,"Russell Sage Playground, Brooklyn"
Rainbow Playground,Brooklyn,robert moses,"Rainbow Playground, Sunset Park, Kings County, City of New York, New York, United States",40.64054675,-74.01107275,"Rainbow Playground, Brooklyn"
Summit Garden,Brooklyn,robert moses,"Summit Street Community Garden, 281, Columbia Street, Columbia Street Waterfront District, Brooklyn, Kings County, City of New York, New York, 11231, United States",40.6824772,-74.00366072,"Summit Garden, Brooklyn"
Squibb Playground,Brooklyn,robert moses,,40.70115092,-73.99609466,"Squibb Playground, Brooklyn"
St. John&rsquo;s Recreation Center,Brooklyn,robert moses,,40.67401132,-73.93496569,"St. John&rsquo;s Recreation Center, Brooklyn"
Emerald Playground,Queens,robert moses,"Emerald Playground, Pomonok, Queens, City of New York, New York, United States",40.73111685,-73.80596812,"Emerald Playground, Queens"
Vinland Playground,Brooklyn,robert moses,"Vinland Playground, Belt Parkway, Fort Hamilton, Brooklyn, Kings County, City of New York, New York, 11252, United States",40.6174371,-74.04001695,"Vinland Playground, Brooklyn"
Vincent V. Abate Playground,Brooklyn,robert moses,"Vincent V Abate Playground, Lorimer Street, Greenpoint, Brooklyn, Kings County, City of New York, New York, 11222, United States",40.7211182,-73.9499519,"Vincent V. Abate Playground, Brooklyn"
Sgt. William Dougherty Playground,Brooklyn,robert moses,"Sgt. William Dougherty Playground, Brooklyn, Kings County, City of New York, New York, 11222, United States",40.72370165,-73.93671087,"Sgt. William Dougherty Playground, Brooklyn"
Tompkins Square Park,Manhattan,robert moses,"Tompkins Square Park, East Village, Manhattan, New York County, City of New York, New York, 10009, United States",40.72648575,-73.98168426,"Tompkins Square Park, Manhattan"
Marie Curie Park,Queens,robert moses,"Marie Curie Park, Oakland Gardens, Queens County, City of New York, New York, United States",40.7571062,-73.77127083,"Marie Curie Park, Queens"
Motor Parkway,Queens,robert moses,"Long Island Motor Parkway, Windsor Oak, Queens County, City of New York, New York, United States",40.73771495,-73.74989275,"Motor Parkway, Queens"
Oliver Hazard Triangle,Queens,robert moses,"Oliver Hazard Triangle, Queens County, City of New York, New York, United States",40.72512535,-73.8988429,"Oliver Hazard Triangle, Queens"
Nassau Expressway,Queens,robert moses,"Nassau Expressway, South Ozone Park, Queens, City of New York, New York, 11414, United States",40.6646333,-73.8278689,"Nassau Expressway, Queens"
New York State Pavilion,Queens,robert moses,,40.74374849,-73.84436853,"New York State Pavilion, Queens"
Overlook Park,Queens,robert moses,"Overlook Park, North Beach, Queens County, City of New York, New York, United States",40.77070645,-73.87238888,"Overlook Park, Queens"
Pat Williams Playground,Queens,robert moses,"Pat Williams Playground, Queens County, Elmont, New York, 11429, United States",40.7129836,-73.72954159,"Pat Williams Playground, Queens"
Equity Park,Queens,robert moses,"Equity Park, Woodhaven, Queens, City of New York, New York, 11421, United States",40.6913889,-73.8536111,"Equity Park, Queens"
Southern Parkway,Queens,robert moses,"Belt Parkway, Queens, City of New York, New York, 11414, United States",40.6663864,-73.834988,"Southern Parkway, Queens"
Harvard Playground,Queens,robert moses,"Harvard Playground, Hillside, Queens, City of New York, New York, 11432, United States",40.70912335,-73.78154755,"Harvard Playground, Queens"
Alley Playground,Queens,robert moses,"Alley Springfield, 76th Avenue, Windsor Oak, Queens, City of New York, New York, 11364, United States",40.7415384,-73.7488266,"Alley Playground, Queens"
Clearview&rsquo;s Tail,Queens,robert moses,,40.72486566,-73.75546114,"Clearview&rsquo;s Tail, Queens"
Redfern Playground,Queens,robert moses,"Redfern Playground, Far Rockaway, Queens County, City of New York, New York, United States",40.6113149,-73.74935184,"Redfern Playground, Queens"
Westbourne Playground,Queens,robert moses,"Westbourne Playground, Bayswater, Queens County, City of New York, New York, United States",40.6085779,-73.76501778,"Westbourne Playground, Queens"
World's Fair Playground,Queens,robert moses,"World's Fair Playground, Grand Central Parkway, Queens, City of New York, New York, 11375, United States",40.73683775,-73.84561134,"World's Fair Playground, Queens"
Triboro Plaza,Manhattan,robert moses,,40.80210681,-73.93276387,"Triboro Plaza, Manhattan"
Unisphere,Queens,robert moses,"Unisphere, Unisphere Promenade, Queens, City of New York, New York, 11368, United States",40.74638375,-73.84507481,"Unisphere, Queens"
Starr Playground,Queens,robert moses,"Starr Playground, Ridgewood, Queens County, City of New York, New York, United States",40.70978505,-73.91780359,"Starr Playground, Queens"
Sutphin Playground,Queens,robert moses,"Sutphin Playground, 152nd Street, Queens, City of New York, New York, 11434, United States",40.6748104,-73.78905003,"Sutphin Playground, Queens"
Terrace on the Park,Queens,robert moses,"Terrace On the Park, 52-11, 111th Street, Corona, Queens, City of New York, New York, 11368, United States",40.74450015,-73.85073547,"Terrace on the Park, Queens"
Sorrentino Recreation Center,Queens,robert moses,,40.60269918,-73.75134667,"Sorrentino Recreation Center, Queens"
Frank Principe Park,Queens,robert moses,"Frank Principe Park, Maspeth, Queens County, City of New York, New York, United States",40.72755285,-73.90491369,"Frank Principe Park, Queens"
Triborough Bridge Playgrounds,Queens,robert moses,,40.77542765,-73.92344832,"Triborough Bridge Playgrounds, Queens"
Van Wyck Expressway,Queens,robert moses,"Van Wyck Expressway, Kew Gardens, Queens, City of New York, New York, 11415, United States",40.7154343,-73.8258035,"Van Wyck Expressway, Queens"
Wayanda Park,Queens,robert moses,"Wayanda Park, Queens County, City of New York, New York, United States",40.71068865,-73.73908496,"Wayanda Park, Queens"
Riverside Park,Manhattan,robert moses,"Riverside Park, Manhattan, New York County, City of New York, New York, 10024, United States",40.7879331,-73.98245552,"Riverside Park, Manhattan"
Midland Malls,Queens,robert moses,"Midland Malls, Hillside, Queens, City of New York, New York, United States",40.71323965,-73.78246389,"Midland Malls, Queens"
Alley Pond Park - Osprey in New York City,Queens,robert moses,,40.74258445,-73.73848112,"Alley Pond Park - Osprey in New York City, Queens"
Playground One Forty Six (CXLVI),Queens,robert moses,"Playground One Forty Six (CXLVI), 56th Road, Queens, City of New York, New York, 11355, United States",40.746069,-73.82117713,"Playground One Forty Six (CXLVI), Queens"
Seaside Playground,Queens,robert moses,"Seaside Playground, Rockaway Park, Queens County, City of New York, New York, 11694, United States",40.5802778,-73.8311111,"Seaside Playground, Queens"
Long Island Motor Parkway,Queens,robert moses,"Long Island Motor Parkway, Windsor Oak, Queens County, City of New York, New York, United States",40.73771495,-73.74989275,"Long Island Motor Parkway, Queens"
Charles Stover Bench,Manhattan,robert moses,"Whisper Bench, 79th Street Transverse, Manhattan, New York County, City of New York, New York, 10024, United States",40.7798691,-73.9696485,"Charles Stover Bench, Manhattan"
Jackie Robinson Parkway,Queens,robert moses,"Jackie Robinson Parkway, Queens, City of New York, New York, 11421, United States",40.6999827,-73.8686296,"Jackie Robinson Parkway, Queens"
Long Island Expressway,Queens,robert moses,"Long Island Expressway, Queens, City of New York, New York, 11368, United States",40.7373067,-73.8517204,"Long Island Expressway, Queens"
Lily Brown Playground,Manhattan,robert moses,"Lily Brown Playground, Riverside Drive, Manhattan Community Board 12, Manhattan, New York County, City of New York, New York, 10032, United States",40.8389892,-73.9461246,"Lily Brown Playground, Manhattan"
Jewish Tercentenary Monument,Manhattan,robert moses,,40.70219712,-74.01321205,"Jewish Tercentenary Monument, Manhattan"
Warsaw Ghetto Memorial Plaza,Manhattan,robert moses,,40.78826417,-73.98230584,"Warsaw Ghetto Memorial Plaza, Manhattan"
Seventy-Ninth Street Boat Basin,Manhattan,robert moses,,40.78615779,40.78615779,"Seventy-Ninth Street Boat Basin, Manhattan"
Coast Guard Memorial,Manhattan,robert moses,"Coast Guard Memorial, Peter Minuit Plaza, Financial District, Manhattan, New York County, City of New York, New York, 10004, United States",40.7012319,-74.013944,"Coast Guard Memorial, Manhattan"
Long Island Motor Parkway,Queens,robert moses,"Long Island Motor Parkway, Windsor Oak, Queens County, City of New York, New York, United States",40.73771495,-73.74989275,"Long Island Motor Parkway, Queens"
Betsy Head Play Center,Brooklyn,robert moses,,40.66260739,-73.91344299,"Betsy Head Play Center, Brooklyn"
Flushing Meadows Corona Park,Queens,robert moses,"Flushing Meadows-Corona Park, Queens, City of New York, New York, United States",40.74042105,-73.84275442,"Flushing Meadows Corona Park, Queens"
Henry Hudson Parkway,Bronx,robert moses,"Henry Hudson Parkway, Manhattan Community Board 12, Manhattan, New York County, City of New York, New York, 10034, The Bronx",40.8788411,-73.9205639,"Henry Hudson Parkway, Bronx"
Zimmerman Playground,Bronx,robert moses,"Zimmerman Memorial Playground, Bronx County, City of New York, New York, 10467, United States",40.8658333,-73.8686111,"Zimmerman Playground, Bronx"
Williamsbridge Oval,Bronx,robert moses,"Williamsbridge Oval, Bronx County, City of New York, New York, United States",40.87762425,-73.87752006,"Williamsbridge Oval, Bronx"
Macri Triangle,Brooklyn,robert moses,"Macri Triangle, Brooklyn, Kings County, City of New York, New York, United States",40.7144884,-73.95204025,"Macri Triangle, Brooklyn"
Flushing Greens,Queens,robert moses,"Flushing Greens, Flushing Chinatown, Queens, City of New York, New York, 11354, United States",40.7633333,-73.8305556,"Flushing Greens, Queens"
Fresh Meadows Playground,Bronx,robert moses,,40.73417047,-73.79613564,"Fresh Meadows Playground, Bronx"
Leif Ericson Park and Square,Brooklyn,robert moses,,40.63740926,-74.02296867,"Leif Ericson Park and Square, Brooklyn"
Astoria Heights Playground,Queens,robert moses,"Astoria Heights Playground, Queens, City of New York, New York, 11103, United States",40.76035615,-73.91178874,"Astoria Heights Playground, Queens"
Matthew Sapolin Playground,Manhattan,robert moses,,40.77751896,-73.98402215,"Matthew Sapolin Playground, Manhattan"
Kevin F. Conroy Ballfields,Brooklyn,robert moses,,40.64997405,-73.97625029,"Kevin F. Conroy Ballfields, Brooklyn"
Adam Yauch Playground,Brooklyn,robert moses,"Adam Yauch Park, Brooklyn Heights, Kings County, City of New York, New York, United States",40.6918314,-73.99873598,"Adam Yauch Playground, Brooklyn"
Betsy Head Park,Brooklyn,robert moses,"Betsy Head Park, Brooklyn, Kings County, City of New York, New York, United States",40.6627297,-73.91336984,"Betsy Head Park, Brooklyn"
Fiorello La Guardia Park,Manhattan,robert moses,,40.72879396,-73.99825952,"Fiorello La Guardia Park, Manhattan"
MARITCHA R. LYONS PARK,Brooklyn,robert moses,"Maritcha R. Lyons Park, Brooklyn, Kings County, City of New York, New York, United States",40.70078635,-73.98641007,"MARITCHA R. LYONS PARK, Brooklyn"
Susan Smith McKinney Steward Park,Brooklyn,robert moses,,40.70141709,-73.98605933,"Susan Smith McKinney Steward Park, Brooklyn"
Whitey Ford Field,Queens,robert moses,,40.77756059,-73.93459919,"Whitey Ford Field, Queens"
Paulo's Peak,Staten_Island,robert moses,"Paulos Peak, Greenbelt Yellow Trail, Staten Island, City of New York, New York, 10306, United States",40.584487,-74.1301889,"Paulo's Peak, Staten_Island"
La Guardia Playground,Brooklyn,robert moses,"La Guardia Playground, Brooklyn, Kings County, City of New York, New York, United States",40.7098383,-73.95917293,"La Guardia Playground, Brooklyn"
Rapkin-Gayle Plaza,Manhattan,robert moses,"Rapkin-Gayle Plaza, SoHo, Manhattan, New York County, City of New York, New York, 10013, United States",40.72040285,-73.99913743,"Rapkin-Gayle Plaza, Manhattan"